Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12534,Teaching a Stone to Talk: Expeditions and Encounters,Annie Dillard,"Dillard, Annie",,"=""0060915412""","=""9780060915414""",0,4.15,Harper Perennial,Paperback,175,1988,1982,,2021/01/21,to-read,to-read (#85),to-read,,,,0,0
127233,The Life of the Mind,Hannah Arendt,"Arendt, Hannah",Mary McCarthy,"=""0156519925""","=""9780156519922""",0,4.25,Harvest Books,Paperback,521,1981,1971,,2021/01/21,to-read,to-read (#84),to-read,,,,0,0
396931,The Origins of Totalitarianism,Hannah Arendt,"Arendt, Hannah",,"=""""","=""""",0,4.30,Harcourt Brace Jovanovich,Paperback,527,1973,1951,,2021/01/21,to-read,to-read (#83),to-read,,,,0,0
138878,The Way to Love: The Last Meditations of Anthony de Mello,Anthony de Mello,"Mello, Anthony de",,"=""038524939X""","=""9780385249393""",0,4.30,Image,Paperback,196,1995,1991,,2021/01/16,to-read,to-read (#82),to-read,,,,0,0
867247,A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,"Musashi, Miyamoto","Victor Harris, Lew Hartman","=""0517415283""","=""9780517415283""",0,3.95,Gramercy,Hardcover,192,1988,1645,,2021/01/16,to-read,to-read (#81),to-read,,,,0,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.37,Scribner,Hardcover,368,2017,2017,,2021/01/02,to-read,to-read (#80),to-read,,,,0,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.22,"Little, Brown and Company",Hardcover,393,2018,2018,,2020/12/27,to-read,to-read (#79),to-read,,,,0,0
99690,No Man Is an Island,Thomas Merton,"Merton, Thomas",,"=""1590302532""","=""9781590302538""",0,4.15,Shambhala,Hardcover,272,2005,1955,,2020/12/16,to-read,to-read (#78),to-read,,,,0,0
52851637,Tour de chambre,Tine Høeg,"Høeg, Tine",,"=""8743400000""","=""9788743400004""",0,4.17,Gutkind,Paperback,324,2020,2020,,2020/12/16,to-read,to-read (#77),to-read,,,,0,0
62708,The  Prosperous Few and the Restless Many (Real Story),Noam Chomsky,"Chomsky, Noam",David Barsamian,"=""1878825038""","=""9781878825032""",0,4.01,Odonian Pr,Paperback,95,1993,1993,,2020/12/16,to-read,to-read (#76),to-read,,,,0,0
404273,Blackshirts and Reds: Rational Fascism and the Overthrow of Communism,Michael Parenti,"Parenti, Michael",,"=""0872863298""","=""9780872863293""",0,4.40,City Lights Books,Paperback,166,1997,1997,,2020/12/16,to-read,to-read (#75),to-read,,,,0,0
285351,Nine Chains to the Moon,R. Buckminster Fuller,"Fuller, R. Buckminster",,"=""0809300885""","=""9780809300884""",0,3.85,Southern Illinois University Press,Paperback,384,1963,1963,,2020/10/19,to-read,to-read (#74),to-read,,,,0,0
